Feature Group,Feature/Area,Sub-feature
Backend - Content Management,Article (Blog),Article CRUD
Backend - Content Management,Article (Blog),Article Categories
Backend - Content Management,Article (Blog),Article Authors
Backend - Content Management,Article (Blog),Article SEO
Backend - Content Management,Article (Blog),Article Dynamic Zones
Backend - Content Management,Article (Blog),Article Localization
Backend - Content Management,Article (Blog),Article Draft & Publish
Backend - Content Management,Page (Dynamic Pages),Page CRUD
Backend - Content Management,Page (Dynamic Pages),Page SEO
Backend - Content Management,Page (Dynamic Pages),Page Slug Management
Backend - Content Management,Page (Dynamic Pages),Page Dynamic Zones
Backend - Content Management,Page (Dynamic Pages),Page Localization
Backend - Content Management,Page (Dynamic Pages),Page Draft & Publish
Backend - Content Management,Product,Product CRUD
Backend - Content Management,Product,Product Categories
Backend - Content Management,Product,Product Plans (Pricing)
Backend - Content Management,Product,Product Perks
Backend - Content Management,Product,Product Featured Flag
Backend - Content Management,Product,Product SEO
Backend - Content Management,Product,Product Media
Backend - Content Management,Product,Product Dynamic Zones
Backend - Content Management,Product,Product Localization
Backend - Content Management,Product,Product Draft & Publish
Backend - Content Management,FAQ,FAQ CRUD
Backend - Content Management,FAQ,FAQ Localization
Backend - Content Management,FAQ,FAQ Structured Data Support
Backend - Content Management,Documentation (Doc),Doc CRUD
Backend - Content Management,Documentation (Doc),Doc SEO
Backend - Content Management,Documentation (Doc),Doc Dynamic Zones
Backend - Content Management,Documentation (Doc),Doc Localization
Backend - Content Management,Documentation (Doc),Doc Draft & Publish
Backend - Content Management,Category,Category CRUD
Backend - Content Management,Category,Category Relations
Backend - Content Management,Category,Category Localization
Backend - Content Management,Testimonial,Testimonial CRUD
Backend - Content Management,Testimonial,Testimonial User Component
Backend - Content Management,Testimonial,Testimonial Localization
Backend - Content Management,Testimonial,Testimonial Draft & Publish
Backend - Content Management,Plan (Pricing),Plan CRUD
Backend - Content Management,Plan (Pricing),Plan Product Relation
Backend - Content Management,Plan (Pricing),Plan Perks
Backend - Content Management,Plan (Pricing),Plan Featured Flag
Backend - Content Management,Plan (Pricing),Plan CTA Component
Backend - Content Management,Contact Card,Contact Card CRUD
Backend - Content Management,Contact Card,Contact Card Contact Methods
Backend - Content Management,Contact Card,Contact Card CSV Export
Backend - Content Management,Contact Card,Contact Card Avatar
Backend - Content Management,Contact Card,Contact Card Ordering
Backend - Content Management,Contact Card,Contact Card Localization
Backend - Content Management,Contact Card,Contact Card Draft & Publish
Backend - User Interaction,Newsletter,Newsletter Subscription
Backend - User Interaction,Newsletter,Newsletter CRUD
Backend - User Interaction,Contact,Contact Form Submission
Backend - User Interaction,Contact,Contact Message Status
Backend - User Interaction,Contact,Contact IP Address Tracking
Backend - User Interaction,Contact,Contact Submitted At Timestamp
Backend - User Interaction,Contact,Contact Localization
Backend - User Interaction,Contact,Contact Draft & Publish
Backend - Site Configuration,Global,Global SEO Settings
Backend - Site Configuration,Global,Global Navbar Configuration
Backend - Site Configuration,Global,Global Footer Configuration
Backend - Site Configuration,Global,Global Localization
Backend - Site Configuration,Global,Global Draft & Publish
Backend - Site Configuration,Global Translation,Translation Key-Value Pairs
Backend - Site Configuration,Global Translation,Translation Localization
Backend - Site Configuration,Logo,Logo Management
Backend - Site Configuration,Logo,Logo Localization
Backend - Site Configuration,Redirection,URL Redirection Management
Backend - Site Configuration,Redirection,Redirection Localization
Backend - Site Configuration,Blog Page,Blog Page Configuration
Backend - Site Configuration,Blog Page,Blog Page SEO
Backend - Site Configuration,Blog Page,Blog Page Dynamic Zones
Backend - Site Configuration,Blog Page,Blog Page Localization
Backend - Site Configuration,Product Page,Product Page Configuration
Backend - Site Configuration,Product Page,Product Page SEO
Backend - Site Configuration,Product Page,Product Page Dynamic Zones
Backend - Site Configuration,Product Page,Product Page Localization
Backend - Strapi Plugins,i18n (Internationalization),Multi-language Support
Backend - Strapi Plugins,i18n (Internationalization),Locale Management
Backend - Strapi Plugins,i18n (Internationalization),Content Localization
Backend - Strapi Plugins,SEO Plugin,SEO Component Integration
Backend - Strapi Plugins,SEO Plugin,Meta Tags Management
Backend - Strapi Plugins,SEO Plugin,OpenGraph Support
Backend - Strapi Plugins,SEO Plugin,Structured Data Support
Backend - Strapi Plugins,Users Permissions,User Authentication
Backend - Strapi Plugins,Users Permissions,Role-based Access Control
Backend - Strapi Plugins,Users Permissions,Permission Management
Backend - Strapi Plugins,Content Releases,Content Release Management
Backend - Strapi Plugins,Content Releases,Content Release Actions
Backend - Strapi Plugins,Review Workflows,Workflow Management
Backend - Strapi Plugins,Review Workflows,Workflow Stages
Backend - Strapi Plugins,Upload (Media Library),Media File Upload
Backend - Strapi Plugins,Upload (Media Library),Media Folder Organization
Backend - Strapi Plugins,Upload (Media Library),Media Type Support
Backend - Shared Components,SEO Component,Meta Title
Backend - Shared Components,SEO Component,Meta Description
Backend - Shared Components,SEO Component,Meta Image
Backend - Shared Components,SEO Component,Keywords
Backend - Shared Components,SEO Component,Meta Robots
Backend - Shared Components,SEO Component,Structured Data (JSON)
Backend - Shared Components,SEO Component,Meta Viewport
Backend - Shared Components,SEO Component,Canonical URL
Backend - Shared Components,SEO Component,OpenGraph Title
Backend - Shared Components,SEO Component,OpenGraph Description
Backend - Shared Components,SEO Component,OpenGraph Image
Backend - Shared Components,Contact Method Component,Contact Type
Backend - Shared Components,Contact Method Component,Contact Value
Backend - Shared Components,Contact Method Component,Contact Icon
Backend - Shared Components,Perks Component,Perk Icon
Backend - Shared Components,Perks Component,Perk Text
Backend - Shared Components,Steps Component,Step Number
Backend - Shared Components,Steps Component,Step Title
Backend - Shared Components,Steps Component,Step Description
Backend - Shared Components,Section Component,Section Title
Backend - Shared Components,Section Component,Section Content
Backend - Shared Components,User Component,User Name
Backend - Shared Components,User Component,User Avatar
Backend - Shared Components,User Component,User Role
Backend - Shared Components,Social Media Icon Links Component,Social Media Platform
Backend - Shared Components,Social Media Icon Links Component,Social Media URL
Backend - Shared Components,Social Media Icon Links Component,Social Media Icon
Backend - Shared Components,Link Component,Link URL
Backend - Shared Components,Link Component,Link Text
Backend - Shared Components,Link Component,Link Target
Backend - Shared Components,Launches Component,Launch Date
Backend - Shared Components,Launches Component,Launch Title
Backend - Shared Components,Launches Component,Launch Description
